command,intent,target_type,attribute,spatial_relation,spatial_reference,position,intent_id,target_type_id,attribute_id,spatial_relation_id,position_id
open the last menu,open,menu,NONE,NONE,NONE,last,5,6,0,0,4
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
click the 3rd gray tab,click,tab,gray,NONE,NONE,3rd,1,8,3,0,2
remove gray button,delete,button,gray,NONE,NONE,NONE,3,1,3,0,3
paste the 1st green text next to the notifications,paste,text,green,next_to,notifications,1st,6,9,4,4,0
launch tab above the menu,open,tab,NONE,above,menu,NONE,5,8,0,1,3
trash the 1st image next to the notifications,delete,image,NONE,next_to,notifications,1st,3,4,0,4,0
delete button to the left of the search,delete,button,NONE,left_of,search,NONE,3,1,0,3,3
select checkbox below the checkout,click,checkbox,NONE,below,checkout,NONE,1,2,0,2,3
open the 2nd link below the profile,open,link,NONE,below,profile,2nd,5,5,0,2,1
press and hold button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
copy orange text below the first email,copy,text,orange,below,first email,NONE,2,9,5,2,3
scroll down to gray tab to the left of the menu,scroll,tab,gray,left_of,menu,NONE,7,8,3,3,3
click on the 2nd checkbox,click,checkbox,NONE,NONE,NONE,2nd,1,2,0,0,1
open link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
paste the 3rd text above the last item,paste,text,NONE,above,last item,3rd,6,9,0,1,2
copy text below the search,copy,text,NONE,below,search,NONE,2,9,0,2,3
paste the 3rd text to the left of the profile,paste,text,NONE,left_of,profile,3rd,6,9,0,3,2
click on the last image to the right of the wi-fi,click,image,NONE,right_of,wi-fi,last,1,4,0,5,4
tap on the last button,tap,button,NONE,NONE,NONE,last,8,1,0,0,4
trash black image,delete,image,black,NONE,NONE,NONE,3,4,1,0,3
press and hold the 3rd text above the settings,long-press,text,NONE,above,settings,3rd,4,9,0,1,2
paste text to the left of the address,paste,text,NONE,left_of,address,NONE,6,9,0,3,3
copy the last text,copy,text,NONE,NONE,NONE,last,2,9,0,0,4
trash green text,delete,text,green,NONE,NONE,NONE,3,9,4,0,3
open the last menu,open,menu,NONE,NONE,NONE,last,5,6,0,0,4
open red link to the left of the home,open,link,red,left_of,home,NONE,5,5,8,3,3
paste red text,paste,text,red,NONE,NONE,NONE,6,9,8,0,3
copy gray text,copy,text,gray,NONE,NONE,NONE,2,9,3,0,3
delete the last image,delete,image,NONE,NONE,NONE,last,3,4,0,0,4
remove pink text to the right of the profile,delete,text,pink,right_of,profile,NONE,3,9,6,5,3
tap the last icon,tap,icon,NONE,NONE,NONE,last,8,3,0,0,4
open white link above the address,open,link,white,above,address,NONE,5,5,9,1,3
click green checkbox above the search,click,checkbox,green,above,search,NONE,1,2,4,1,3
click white checkbox,click,checkbox,white,NONE,NONE,NONE,1,2,9,0,3
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
tap the last purple button to the left of the last item,tap,button,purple,left_of,last item,last,8,1,7,3,4
tap on the 3rd button next to the search,tap,button,NONE,next_to,search,3rd,8,1,0,4,2
delete green button,delete,button,green,NONE,NONE,NONE,3,1,4,0,3
scroll down to text to the right of the profile,scroll,text,NONE,right_of,profile,NONE,7,9,0,5,3
paste white text next to the wi-fi,paste,text,white,next_to,wi-fi,NONE,6,9,9,4,3
select tab above the help,click,tab,NONE,above,help,NONE,1,8,0,1,3
long-press text next to the last item,long-press,text,NONE,next_to,last item,NONE,4,9,0,4,3
launch the 1st tab to the right of the first email,open,tab,NONE,right_of,first email,1st,5,8,0,5,0
select the last icon below the address,click,icon,NONE,below,address,last,1,3,0,2,4
tap on button,tap,button,NONE,NONE,NONE,NONE,8,1,0,0,3
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
trash the 2nd green button above the home,delete,button,green,above,home,2nd,3,1,4,1,1
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
delete image to the left of the first email,delete,image,NONE,left_of,first email,NONE,3,4,0,3,3
select the 3rd button next to the notifications,click,button,NONE,next_to,notifications,3rd,1,1,0,4,2
launch tab above the settings,open,tab,NONE,above,settings,NONE,5,8,0,1,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
open the 1st gray menu,open,menu,gray,NONE,NONE,1st,5,6,3,0,0
scroll to menu to the right of the settings,scroll,menu,NONE,right_of,settings,NONE,7,6,0,5,3
remove orange text,delete,text,orange,NONE,NONE,NONE,3,9,5,0,3
copy blue text above the wi-fi,copy,text,blue,above,wi-fi,NONE,2,9,2,1,3
scroll down to green text to the left of the search,scroll,text,green,left_of,search,NONE,7,9,4,3,3
launch the 2nd tab,open,tab,NONE,NONE,NONE,2nd,5,8,0,0,1
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
tap on checkbox to the left of the menu,tap,checkbox,NONE,left_of,menu,NONE,8,2,0,3,3
scroll down to tab to the left of the home,scroll,tab,NONE,left_of,home,NONE,7,8,0,3,3
open icon to the right of the home,open,icon,NONE,right_of,home,NONE,5,3,0,5,3
copy text to the right of the last item,copy,text,NONE,right_of,last item,NONE,2,9,0,5,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
copy purple text,copy,text,purple,NONE,NONE,NONE,2,9,7,0,3
paste black text below the help,paste,text,black,below,help,NONE,6,9,1,2,3
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
open button next to the last item,open,button,NONE,next_to,last item,NONE,5,1,0,4,3
open gray button below the address,open,button,gray,below,address,NONE,5,1,3,2,3
launch icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
tap red link above the settings,tap,link,red,above,settings,NONE,8,5,8,1,3
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE,7,8,0,0,3
long-press the 3rd purple icon to the right of the home,long-press,icon,purple,right_of,home,3rd,4,3,7,5,2
press and hold the last red image,long-press,image,red,NONE,NONE,last,4,4,8,0,4
trash text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
press and hold yellow button,long-press,button,yellow,NONE,NONE,NONE,4,1,10,0,3
launch button,open,button,NONE,NONE,NONE,NONE,5,1,0,0,3
trash red image below the first email,delete,image,red,below,first email,NONE,3,4,8,2,3
click on orange icon below the cart,click,icon,orange,below,cart,NONE,1,3,5,2,3
select white checkbox,click,checkbox,white,NONE,NONE,NONE,1,2,9,0,3
scroll to menu below the notifications,scroll,menu,NONE,below,notifications,NONE,7,6,0,2,3
remove text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
paste the 1st yellow text,paste,text,yellow,NONE,NONE,1st,6,9,10,0,0
paste orange text,paste,text,orange,NONE,NONE,NONE,6,9,5,0,3
