command,intent,target_type,attribute,spatial_relation,spatial_reference,position
open the last menu,open,menu,NONE,NONE,NONE,last
copy text,copy,text,NONE,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
click the 3rd gray tab,click,tab,gray,NONE,NONE,3rd
remove gray button,delete,button,gray,NONE,NONE,NONE
paste the 1st green text next to the notifications,paste,text,green,next_to,notifications,1st
launch tab above the menu,open,tab,NONE,above,menu,NONE
trash the 1st image next to the notifications,delete,image,NONE,next_to,notifications,1st
delete button to the left of the search,delete,button,NONE,left_of,search,NONE
select checkbox below the checkout,click,checkbox,NONE,below,checkout,NONE
open the 2nd link below the profile,open,link,NONE,below,profile,2nd
press and hold button,long-press,button,NONE,NONE,NONE,NONE
copy orange text below the first email,copy,text,orange,below,first email,NONE
scroll down to gray tab to the left of the menu,scroll,tab,gray,left_of,menu,NONE
click on the 2nd checkbox,click,checkbox,NONE,NONE,NONE,2nd
open link,open,link,NONE,NONE,NONE,NONE
paste the 3rd text above the last item,paste,text,NONE,above,last item,3rd
copy text below the search,copy,text,NONE,below,search,NONE
paste the 3rd text to the left of the profile,paste,text,NONE,left_of,profile,3rd
click on the last image to the right of the wi-fi,click,image,NONE,right_of,wi-fi,last
tap on the last button,tap,button,NONE,NONE,NONE,last
trash black image,delete,image,black,NONE,NONE,NONE
press and hold the 3rd text above the settings,long-press,text,NONE,above,settings,3rd
paste text to the left of the address,paste,text,NONE,left_of,address,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
trash green text,delete,text,green,NONE,NONE,NONE
open the last menu,open,menu,NONE,NONE,NONE,last
open red link to the left of the home,open,link,red,left_of,home,NONE
paste red text,paste,text,red,NONE,NONE,NONE
copy gray text,copy,text,gray,NONE,NONE,NONE
delete the last image,delete,image,NONE,NONE,NONE,last
remove pink text to the right of the profile,delete,text,pink,right_of,profile,NONE
tap the last icon,tap,icon,NONE,NONE,NONE,last
open white link above the address,open,link,white,above,address,NONE
click green checkbox above the search,click,checkbox,green,above,search,NONE
click white checkbox,click,checkbox,white,NONE,NONE,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
tap the last purple button to the left of the last item,tap,button,purple,left_of,last item,last
tap on the 3rd button next to the search,tap,button,NONE,next_to,search,3rd
delete green button,delete,button,green,NONE,NONE,NONE
scroll down to text to the right of the profile,scroll,text,NONE,right_of,profile,NONE
paste white text next to the wi-fi,paste,text,white,next_to,wi-fi,NONE
select tab above the help,click,tab,NONE,above,help,NONE
long-press text next to the last item,long-press,text,NONE,next_to,last item,NONE
launch the 1st tab to the right of the first email,open,tab,NONE,right_of,first email,1st
select the last icon below the address,click,icon,NONE,below,address,last
tap on button,tap,button,NONE,NONE,NONE,NONE
press and hold image,long-press,image,NONE,NONE,NONE,NONE
trash the 2nd green button above the home,delete,button,green,above,home,2nd
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
delete image to the left of the first email,delete,image,NONE,left_of,first email,NONE
select the 3rd button next to the notifications,click,button,NONE,next_to,notifications,3rd
launch tab above the settings,open,tab,NONE,above,settings,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
open the 1st gray menu,open,menu,gray,NONE,NONE,1st
scroll to menu to the right of the settings,scroll,menu,NONE,right_of,settings,NONE
remove orange text,delete,text,orange,NONE,NONE,NONE
copy blue text above the wi-fi,copy,text,blue,above,wi-fi,NONE
scroll down to green text to the left of the search,scroll,text,green,left_of,search,NONE
launch the 2nd tab,open,tab,NONE,NONE,NONE,2nd
copy text,copy,text,NONE,NONE,NONE,NONE
tap on checkbox to the left of the menu,tap,checkbox,NONE,left_of,menu,NONE
scroll down to tab to the left of the home,scroll,tab,NONE,left_of,home,NONE
open icon to the right of the home,open,icon,NONE,right_of,home,NONE
copy text to the right of the last item,copy,text,NONE,right_of,last item,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy purple text,copy,text,purple,NONE,NONE,NONE
paste black text below the help,paste,text,black,below,help,NONE
remove image,delete,image,NONE,NONE,NONE,NONE
open button next to the last item,open,button,NONE,next_to,last item,NONE
open gray button below the address,open,button,gray,below,address,NONE
launch icon,open,icon,NONE,NONE,NONE,NONE
tap red link above the settings,tap,link,red,above,settings,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
long-press the 3rd purple icon to the right of the home,long-press,icon,purple,right_of,home,3rd
press and hold the last red image,long-press,image,red,NONE,NONE,last
trash text,delete,text,NONE,NONE,NONE,NONE
press and hold yellow button,long-press,button,yellow,NONE,NONE,NONE
launch button,open,button,NONE,NONE,NONE,NONE
trash red image below the first email,delete,image,red,below,first email,NONE
click on orange icon below the cart,click,icon,orange,below,cart,NONE
select white checkbox,click,checkbox,white,NONE,NONE,NONE
scroll to menu below the notifications,scroll,menu,NONE,below,notifications,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
paste the 1st yellow text,paste,text,yellow,NONE,NONE,1st
paste orange text,paste,text,orange,NONE,NONE,NONE
copy text to the right of the notifications,copy,text,NONE,right_of,notifications,NONE
click on button next to the cart,click,button,NONE,next_to,cart,NONE
copy text next to the first email,copy,text,NONE,next_to,first email,NONE
launch red menu,open,menu,red,NONE,NONE,NONE
click image,click,image,NONE,NONE,NONE,NONE
paste text above the notifications,paste,text,NONE,above,notifications,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
remove green image next to the address,delete,image,green,next_to,address,NONE
click the last switch next to the wi-fi,click,switch,NONE,next_to,wi-fi,last
scroll to blue tab,scroll,tab,blue,NONE,NONE,NONE
remove gray text above the first email,delete,text,gray,above,first email,NONE
launch button to the right of the checkout,open,button,NONE,right_of,checkout,NONE
scroll to the 3rd menu next to the search,scroll,menu,NONE,next_to,search,3rd
click on link,click,link,NONE,NONE,NONE,NONE
tap on the 3rd yellow checkbox,tap,checkbox,yellow,NONE,NONE,3rd
open link to the left of the cart,open,link,NONE,left_of,cart,NONE
copy the 1st green text,copy,text,green,NONE,NONE,1st
long-press the 1st image to the left of the search,long-press,image,NONE,left_of,search,1st
paste text,paste,text,NONE,NONE,NONE,NONE
tap on tab above the profile,tap,tab,NONE,above,profile,NONE
click on the 3rd link above the help,click,link,NONE,above,help,3rd
copy the 3rd black text next to the search,copy,text,black,next_to,search,3rd
scroll down to the 2nd text below the wi-fi,scroll,text,NONE,below,wi-fi,2nd
select switch below the first email,click,switch,NONE,below,first email,NONE
long-press orange image,long-press,image,orange,NONE,NONE,NONE
paste text to the left of the home,paste,text,NONE,left_of,home,NONE
click the 1st link to the left of the address,click,link,NONE,left_of,address,1st
launch the last menu below the checkout,open,menu,NONE,below,checkout,last
scroll to text below the first email,scroll,text,NONE,below,first email,NONE
press the 3rd yellow text to the right of the login,click,text,yellow,right_of,login,3rd
open pink tab below the login,open,tab,pink,below,login,NONE
copy the 1st pink text,copy,text,pink,NONE,NONE,1st
click red button below the login,click,button,red,below,login,NONE
delete the 1st green button next to the login,delete,button,green,next_to,login,1st
select black switch to the left of the wi-fi,click,switch,black,left_of,wi-fi,NONE
press and hold orange image above the notifications,long-press,image,orange,above,notifications,NONE
launch the 1st tab next to the checkout,open,tab,NONE,next_to,checkout,1st
copy text below the notifications,copy,text,NONE,below,notifications,NONE
copy the 2nd pink text to the left of the address,copy,text,pink,left_of,address,2nd
tap gray checkbox to the left of the home,tap,checkbox,gray,left_of,home,NONE
open the 1st purple icon to the left of the wi-fi,open,icon,purple,left_of,wi-fi,1st
remove text below the first email,delete,text,NONE,below,first email,NONE
press the 2nd icon,click,icon,NONE,NONE,NONE,2nd
remove orange image above the help,delete,image,orange,above,help,NONE
